,BTS,GROUPE,X,Y,commune_id
7452,18X015,CONSTANTINE_AUX,6.26515,36.6568,3194.0
7453,34X017,SETIF_AUX,4.7876,36.1486,2979.0
7455,16X069,CENTRE_AUX,3.06812,36.7423,2919.0
7456,31X230,AUXILIARY BL,-0.42506,35.78461,3038.0
7463,36X001,AUXILIARY BL,8.3167,36.7694,2755.0
7465,02X197,ORAN_AUX,1.23722,36.2321,2983.0
7475,14X094,ORAN_AUX,1.33246,35.3535,2740.0
7480,19X058,SETIF_AUX,4.86692,36.4671,3645.0
7491,19X087,SETIF_AUX,5.70947,36.4879,3646.0
7494,31X554,ORAN_AUX,-0.70356,35.66229,2787.0
7498,05X009,AUXILIARY BL,6.1562,35.5405,2784.0
7500,31X014,ORAN_AUX,-0.7664,35.7458,2780.0
7511,18X040,CONSTANTINE_AUX,5.68231,36.8061,2785.0
7513,16X070,AUXILIARY BL,2.99108,36.7648,2716.0
7520,18X045,AUXILIARY BL,6.12164,36.8084,3058.0
7522,47X063,SUD_AUX,3.74755,32.471,3192.0
7524,16X376,ALGER_AUX,2.91312,36.8032,2956.0
7526,06X166,SETIF_AUX,4.67743,36.6104,3647.0
7529,31X470,ORAN_AUX,-0.66344,35.6384,2802.0
7530,12X073,CONSTANTINE_AUX,7.4689,35.3482,3648.0
7531,31X528,ORAN_AUX,-0.7497,35.74,2780.0
7535,16X035,CENTRE_AUX,2.98278,36.7814,3166.0
7537,32X011,SUD_AUX,0.05102,33.0333,3649.0
7546,33X004,SUD_AUX,8.48087,26.5144,3431.0
7551,16X1108,AUXILIARY BL,3.1842,36.72425,2864.0
7556,12X082,AUXILIARY BL,7.75594,35.26228,3354.0
7565,25X154,CONSTANTINE_AUX,6.67943,36.2314,2693.0
7568,44x14,CENTRE_AUX,1.85725,36.3117,3202.0
7569,07X156,SETIF_AUX,5.56328,34.6693,2767.0
7572,43X007,CONSTANTINE_AUX,6.34979,36.24929,3268.0
7574,13X284,TLEMCEN_AUX,-1.88089,34.8684,2692.0
7577,31X033,ORAN_AUX,-0.65986,35.6797,2787.0
7579,30X031,SUD_AUX,6.08113,33.1334,3650.0
7580,04X177,CONSTANTINE_AUX,6.562,36.02957,2677.0
7581,28X101,SETIF_AUX,3.76587,35.8811,2910.0
7582,04X015,CONSTANTINE_AUX,7.2597,36.0856,3506.0
7584,45X066,AUXILIARY BL,-0.2758,33.54173,2770.0
7585,23X054,AUXILIARY BL,7.75198,36.921,2731.0
7587,01X013,SUD_AUX,0.34185,28.7017,3651.0
7590,16X565,ALGER_AUX,3.11778,36.7175,2808.0
7591,15X004,CENTRE_AUX,4.0303,36.7198,2683.0
7593,04X046,CONSTANTINE_AUX,6.70518,35.9238,2793.0
7596,35X010,CENTRE_AUX,3.71711,36.7405,3125.0
7598,05X092,SETIF_AUX,5.26484,35.50957,3652.0
7599,30X085,SUD_AUX,5.33105,31.9566,2818.0
7602,25X035,CONSTANTINE_AUX,6.6984,36.2673,2693.0
7604,46X143,TLEMCEN_AUX,-1.12494,35.29069,2993.0
7608,04X038,AUXILIARY BL,6.29295,35.895,2765.0
7617,13X054,TLEMCEN_AUX,-1.04244,34.9006,3326.0
7618,16X1359,ALGER_AUX,2.9971,36.60103,3264.0
7620,13X219,AUXILIARY BL,-1.37614,35.0483,3517.0
7622,48X158,ORAN_AUX,0.541,35.7492,2843.0
7625,15X081,CENTRE_AUX,4.08703,36.6314,3240.0
7627,07X034,SETIF_AUX,5.59424,35.0362,3653.0
7632,43X104,CONSTANTINE_AUX,6.1695,36.4675,3345.0
7634,40X019,CONSTANTINE_AUX,7.15604,35.4293,2729.0
7637,08X021,SUD_AUX,-2.20744,31.6144,2829.0
7638,06X162,SETIF_AUX,4.68907,36.7507,3553.0
7641,28X082,SETIF_AUX,4.51732,35.7143,2699.0
7644,13X105,TLEMCEN_AUX,-1.28429,34.9354,2878.0
