,BTS,X,Y,commune_id
159,31X197,-0.44203,35.7124,2804.0
160,16X424,3.05053,36.73,2805.0
161,41X001,7.95702,36.2858,2806.0
162,15X035,4.41464,36.8912,2807.0
163,16X782,3.11325,36.7184,2808.0
165,44X062,2.21905,36.304,2788.0
166,04X004,7.37744,35.7993,2733.0
167,19X147,5.42811,36.2,2809.0
168,16X729,3.01029,36.8117,2810.0
169,16X534,3.03143,36.7194,2811.0
170,16X913,3.2137,36.744,2791.0
171,26X122,2.75048,35.8832,2812.0
172,41X027,7.53384,36.1257,2813.0
173,09X042,2.6257,36.4709,2814.0
174,28X044,4.18075,35.2207,2713.0
175,04X006,6.57359,36.035,2677.0
176,19X040,5.2869,35.9724,2815.0
177,07X100,5.70358,34.8484,2816.0
178,16X416,3.0222,36.6749,2817.0
179,30X037,5.34089,31.9588,2818.0
180,19X141,5.29635,35.9214,2819.0
181,05X175,6.16611,35.5275,2784.0
182,34X068,4.77222,36.0756,2752.0
183,08X023,-2.16964,30.1291,2820.0
184,16X004,3.053,36.734,2805.0
185,28X021,4.97853,35.5437,2821.0
186,40X023,7.12445,35.5267,2822.0
187,19X222,5.40844,36.178,2809.0
188,23X027,7.73855,36.8061,2823.0
189,02X151,1.45851,36.1912,2824.0
190,23X092,7.4617,36.7402,2825.0
191,16X878,2.83476,36.6966,2688.0
192,17X005,3.27256,34.6594,2703.0
193,07X004,5.38629,34.7356,2826.0
194,47X053,3.69193,32.5789,2827.0
195,30X107,6.071,31.7036,2828.0
196,08X043,-2.22002,31.6002,2829.0
197,43X045,5.9483,36.4057,2830.0
198,17X040,3.26092,34.6832,2703.0
199,16X109,3.25026,36.7917,2774.0
200,42X117,2.42631,36.477,2831.0
201,17X021,3.27342,34.6722,2703.0
202,14X043,1.10572,34.9109,2832.0
203,31X636,-0.53279,35.74884,2833.0
204,16X140,3.10363,36.6642,2834.0
205,46X002,-1.18472,35.3059,2835.0
206,25X192,6.5605,36.2409,2708.0
207,27X137,0.09636,35.9195,2726.0
208,27X027,0.18656,35.781,2836.0
209,04X067,6.93422,36.103,2837.0
210,18X052,5.77301,36.8027,2785.0
211,16X815,3.06248,36.7659,2838.0
212,25X254,6.59058,36.264,2693.0
213,21X046,6.80811,36.7014,2839.0
214,30X013,6.05929,33.0975,2840.0
215,20X019,0.14394,34.8465,2841.0
216,31X008,-0.63928,35.69828,2787.0
217,39X044,5.99142,33.5315,2842.0
218,48X033,0.5385,35.7319,2843.0
219,05X010,6.46635,35.4932,2844.0
220,31X090,-0.62239,35.68522,2787.0
221,02X035,1.27864,36.0252,2845.0
222,09X244,2.84489,36.50803,2846.0
223,38X014,2.27481,35.8582,2689.0
224,44X029,1.68283,36.2102,2847.0
225,26X028,2.71944,35.9138,2848.0
226,24X042,7.42433,36.4633,2786.0
227,15X085,4.43139,36.5873,2849.0
228,45X053,-0.27339,33.5578,2770.0
229,26X056,3.49419,36.2908,2850.0
230,43X117,6.50503,36.199,2851.0
231,06X034,5.03721,36.7018,2852.0
232,03X028,2.87932,33.7967,2853.0
233,10X081,3.74925,36.3212,2854.0
234,05X113,6.41534,35.4327,2855.0
235,46X095,-1.38226,35.3016,2673.0
236,16X623,3.25582,36.7722,2791.0
237,48X016,0.45953,35.7323,2856.0
238,13X156,-1.80994,34.9101,2857.0
239,19X144,5.40818,36.2031,2809.0
240,48X133,0.5654,35.755,2843.0
241,35X029,3.4003,36.7354,2858.0
242,08X004,-2.21542,31.6143,2829.0
243,06X009,5.04326,36.7414,2719.0
244,48X062,0.90656,35.9571,2681.0
245,24X030,7.32416,36.5917,2859.0
246,05X127,6.30927,35.1405,2860.0
247,35X111,3.43058,36.7358,2861.0
248,26X025,3.15875,36.2528,2862.0
249,13X132,-1.74325,34.8493,2692.0
250,29X080,0.33564,35.40965,2736.0
251,07X046,5.70242,34.8527,2816.0
252,23X062,7.74058,36.8562,2863.0
253,16X493,3.1802,36.7298,2864.0
254,09X177,2.89367,36.5024,2865.0
255,19X126,5.39286,36.1947,2809.0
256,05X164,6.2522,35.4845,2866.0
257,16X115,3.04406,36.7776,2867.0
258,25X102,6.62011,36.3687,2764.0
259,16X162,2.88755,36.7539,2868.0
260,31X149,-0.64514,35.7017,2787.0
261,38X003,2.02694,35.8674,2869.0
262,09X060,3.1614,36.5708,2870.0
263,02X164,1.20875,36.0862,2871.0
264,12X015,7.88949,35.8669,2872.0
265,48X045,0.82383,35.9252,2873.0
266,05X084,6.49961,35.3128,2874.0
268,06X028,4.69805,36.5269,2714.0
269,21X170,6.43784,36.7449,2875.0
270,14X021,2.31661,35.2109,2876.0
271,21X029,6.63848,36.6264,2877.0
272,19X005,5.40311,36.1889,2809.0
273,13X128,-1.32647,34.9352,2878.0
274,25X162,6.58434,36.4199,2879.0
275,48X103,0.34919,35.72252,2880.0
276,38X028,1.78706,35.5925,2762.0
277,42X023,2.24256,36.4947,2881.0
278,06X077,5.03962,36.7441,2719.0
279,19X323,5.44849,36.19905,2809.0
280,26X010,2.75339,36.2644,2730.0
281,43X031,6.32368,36.39784,2882.0
283,07X001,5.72321,34.8521,2816.0
284,34X008,4.74399,36.0839,2752.0
285,19X129,5.84142,36.13584,2883.0
286,15X135,4.42169,36.892,2807.0
287,16X1062,2.84718,36.68763,2768.0
288,18X093,6.26993,36.748,2695.0
289,30X103,5.26555,31.9528,2818.0
290,18X061,5.95408,36.6776,2884.0
291,09X059,2.79635,36.55,2674.0
292,06X012,5.07392,36.7164,2719.0
293,39X003,6.8397,33.3736,2885.0
294,34X032,4.77575,36.0735,2752.0
295,25X024,6.6397,36.3572,2764.0
296,16M31,3.05974,36.7828,2886.0
297,15X037,4.47955,36.6165,2887.0
298,19X071,5.34007,36.1096,2888.0
299,14X036,1.31119,35.3612,2740.0
300,15X260,3.89577,36.4888,2889.0
301,19X128,4.85851,36.4414,2890.0
302,28X171,4.20641,35.221,2713.0
303,24X031,7.28544,36.4156,2891.0
304,35X002,3.31341,36.6579,2741.0
305,09X127,2.84962,36.492,2757.0
306,02X010,1.129,36.0659,2892.0
307,10X083,3.81914,36.3912,2893.0
308,21X038,7.07795,36.6616,2894.0
309,02X186,1.31178,36.147,2895.0
310,05X005,6.17543,35.5368,2784.0
311,06X053,5.24614,36.638,2896.0
312,19X233,5.33771,36.1767,2897.0
313,29X039,0.07308,35.5819,2898.0
314,40X004,7.14968,35.4263,2729.0
315,19X032,5.29411,35.9266,2819.0
316,16X148,3.07031,36.7029,2811.0
317,15X093,4.13718,36.8878,2899.0
318,36X055,8.37862,36.7833,2900.0
319,14X135,1.49984,35.1807,2707.0
320,46X108,-1.0991,35.3394,2901.0
321,44X120,1.67234,36.2159,2847.0
322,31X134,-0.60447,35.6857,2787.0
323,21X064,6.91347,36.8647,2754.0
324,18X039,5.84237,36.8026,2902.0
325,08X010,-2.42847,31.5564,2903.0
326,23X110,7.74443,36.8936,2731.0
327,16X391,3.2219,36.7112,2904.0
328,21X124,6.94041,36.7737,2905.0
329,19X108,5.66573,35.8901,2906.0
330,36X012,7.7403,36.7538,2907.0
331,45X051,-0.59006,32.7503,2908.0
332,44X124,2.16569,36.2652,2909.0
333,07X098,5.74733,34.8627,2816.0
334,06X125,5.04709,36.752,2719.0
335,28X010,3.78566,35.8815,2910.0
336,26X152,3.30568,36.2264,2911.0
337,19X007,5.40966,36.19525,2809.0
338,23X148,7.7624,36.9009,2731.0
339,48X009,0.83183,35.93,2873.0
340,31X722,-0.60126,35.67554,2802.0
341,35X118,3.85746,36.856,2912.0
342,09X004,2.8632,36.5005,2913.0
343,18X078,5.9358,36.6985,2884.0
344,37X006,-8.12811,27.6487,2914.0
345,02X026,1.55194,36.11111,2915.0
346,42X115,2.3911,36.5375,2744.0
347,02X025,1.39936,36.0638,2799.0
348,06X110,4.63392,36.4744,2916.0
349,10X018,3.59551,36.566,2917.0
350,02X246,1.19687,36.4226,2918.0
351,16X069,3.06812,36.7423,2919.0
352,10X001,3.90993,36.3707,2920.0
353,13X288,-1.3506,34.9102,2745.0
354,16X514,3.17594,36.7234,2864.0
355,14X076,1.3395,35.3646,2740.0
356,02X089,1.42359,36.2574,2921.0
357,48X129,0.85081,36.1103,2922.0
358,41X021,7.93759,36.2789,2806.0
359,18X111,5.90488,36.7882,2923.0
360,28X028,4.52977,35.7166,2699.0
361,48X054,0.95147,35.825,2924.0
362,16X204,3.05311,36.7272,2805.0
363,44X117,2.07474,36.2013,2925.0
364,48X059,0.81081,35.7721,2926.0
365,16X378,2.97284,36.6972,2782.0
366,02X070,1.30536,36.1421,2895.0
367,13X038,-1.76692,35.0446,2927.0
368,48X042,0.87644,36.1291,2928.0
369,48X022,0.5764,35.7105,2843.0
370,15X032,4.23624,36.8033,2929.0
371,25X208,6.60833,36.3626,2764.0
372,31X070,-0.46542,35.7309,2792.0
373,10X016,4.2682,36.3622,2930.0
374,23X071,7.75563,36.8944,2731.0
375,16X036,3.0301,36.7659,2931.0
376,19X137,4.90227,36.5187,2932.0
377,42X153,2.5541,36.5162,2738.0
378,40X005,6.92631,35.494,2933.0
379,26X044,2.73789,36.2757,2730.0
380,28X040,4.53372,35.7098,2699.0
381,44X141,2.2959,36.2493,2934.0
382,31X085,-0.66225,35.6862,2787.0
383,42X173,2.7974,36.6646,2935.0
384,40X058,7.12524,35.4398,2729.0
385,28X004,4.17827,35.2135,2713.0
386,30X072,6.07252,33.0967,2936.0
387,36X038,7.84197,36.7044,2937.0
388,23X161,7.78481,36.8587,2863.0
389,05X184,6.17666,35.5469,2784.0
390,25X149,6.60635,36.3603,2764.0
391,06X253,5.04041,36.7553,2719.0
392,31X038,-0.62967,35.6969,2787.0
393,16X412,2.95642,36.7669,2938.0
394,17X015,2.52561,34.4484,2939.0
395,01X010,-0.29837,27.87388,2940.0
396,47X026,3.62663,32.2806,2941.0
397,31X103,-0.63508,35.6892,2787.0
398,31X408,-0.59214,35.7227,2787.0
400,16X394,3.23724,36.7208,2904.0
401,39X066,6.8692,33.3926,2885.0
402,02X012,1.26917,36.2078,2942.0
403,15X074,4.06397,36.7023,2683.0
404,13X294,-1.73856,34.8521,2692.0
405,04X016,6.78538,36.1214,2943.0
406,44X070,1.67639,36.2267,2847.0
407,29X082,0.20398,35.6829,2944.0
408,14X080,1.04045,35.0673,2763.0
409,28X033,4.08778,34.9872,2945.0
410,39X033,6.89058,33.3261,2946.0
411,35X053,3.62106,36.7201,2947.0
412,24X003,7.43181,36.461,2786.0
413,03X027,2.85789,33.817,2853.0
414,21X092,6.55739,37.0023,2948.0
415,28X080,4.15595,34.8525,2949.0
416,10X073,4.32851,36.3612,2950.0
417,15X023,4.05755,36.5094,2951.0
418,09X219,3.1341,36.5562,2952.0
419,05X215,6.1348,35.5516,2784.0
420,12X044,7.88353,35.8652,2872.0
421,48X004,0.56336,35.7284,2843.0
422,15X061,4.00947,36.5933,2953.0
423,32X010,1.2061,33.38,2954.0
424,01X001,-0.28339,27.875,2940.0
425,34X013,5.03255,35.9455,2682.0
426,09X003,2.86024,36.522,2846.0
427,25X168,6.63627,36.4527,2955.0
428,16X375,2.91341,36.7898,2956.0
429,17X012,3.36074,35.35,2957.0
430,02X201,1.2565,36.1838,2942.0
431,24X092,7.15567,36.3141,2679.0
432,25X005,6.5911,36.33,2764.0
433,39X062,6.7456,33.5952,2958.0
434,19X153,5.51472,36.1915,2959.0
435,25X009,6.61355,36.3677,2764.0
436,21X063,6.91194,36.8759,2754.0
437,32X002,0.08894,34.0366,2960.0
438,09X110,2.81553,36.4693,2757.0
439,30X049,6.05358,31.7034,2828.0
440,34X118,4.75443,36.0727,2752.0
441,06X267,4.5242,36.4594,2961.0
442,04X044,7.39286,35.8002,2733.0
443,27X127,0.19086,35.7799,2836.0
444,03X001,3.27861,32.9527,2962.0
445,16X471,3.05065,36.7439,2963.0
446,16X1058,3.22742,36.7617,2791.0
447,44X021,2.22528,36.3122,2788.0
449,40X002,7.14144,35.4226,2729.0
450,06X015,4.8543,36.6795,2964.0
451,14X155,1.50129,35.1877,2707.0
452,16X064,2.99867,36.7144,2965.0
453,16X025,3.05629,36.7623,2966.0
454,06X151,4.4857,36.364,2967.0
455,18X008,5.76079,36.8108,2785.0
456,17X014,3.49031,34.8968,2968.0
457,04X037,7.38398,35.791,2733.0
458,06X152,4.47262,36.411,2961.0
459,30X099,5.33213,31.9464,2818.0
460,16X083,3.02635,36.7036,2817.0
461,31X495,-0.27245,35.8033,2969.0
462,13X170,-1.75245,35.0064,2927.0
463,10X069,3.67634,36.2883,2970.0
464,24X070,7.4399,36.4455,2786.0
466,25X043,6.71057,36.5328,2971.0
467,48X003,0.55586,35.7411,2843.0
468,19X041,5.33825,36.037,2972.0
469,10X064,4.31617,36.3298,2973.0
470,43X008,6.03903,36.4588,2974.0
471,35X136,3.59848,36.6732,2975.0
472,10X012,3.69842,36.1395,2976.0
473,45X068,-0.26142,33.54298,2770.0
474,42X007,2.43985,36.5896,2766.0
475,19X165,5.29378,35.8577,2977.0
476,13X309,-1.53149,34.8301,2978.0
477,34X039,4.79855,36.1458,2979.0
478,16X182,3.18916,36.7463,2791.0
479,17X010,3.5059,34.153,2980.0
480,38X062,1.61839,35.88767,2981.0
481,05X099,6.15506,35.5348,2784.0
482,13X076,-1.2984,34.9251,2878.0
483,25X063,6.6094,36.2552,2693.0
484,15X097,3.82848,36.5365,2982.0
485,25X046,6.62982,36.3807,2764.0
486,02X013,1.23306,36.2291,2983.0
487,29X017,-0.41169,35.5176,2984.0
488,37X002,-8.13786,27.6722,2914.0
489,05X004,6.16204,35.532,2784.0
490,42X072,1.70872,36.5489,2985.0
491,06X177,5.04656,36.7276,2719.0
492,22X024,-0.69894,35.1583,2803.0
493,19X122,5.69196,36.1487,2986.0
494,29X178,-0.31325,35.4277,2987.0
495,43X048,6.29776,36.3595,2988.0
496,47X005,3.68714,32.4974,2827.0
497,28X003,4.53347,35.7048,2699.0
498,26X052,2.94214,36.2422,2989.0
499,35X026,3.37149,36.6355,2990.0
500,13X386,-1.33212,34.8905,2745.0
501,43X002,6.27089,36.4529,2991.0
502,45X072,-0.25282,33.5542,2770.0
503,31X414,-0.64958,35.6993,2787.0
504,29X115,0.78896,35.3806,2992.0
505,46X007,-1.1405,35.2951,2993.0
506,18X011,5.89843,36.7693,2923.0
507,12X119,8.09205,35.41384,2697.0
509,13X004,-1.31394,34.8824,2745.0
510,04X025,6.8733,35.9738,2994.0
512,03X044,2.84992,33.7894,2853.0
513,02X121,1.34002,36.155,2895.0
514,21X070,6.90668,36.8685,2754.0
515,16X1115,2.9746,36.7503,2716.0
516,12X029,8.09863,35.4008,2697.0
517,13X107,-1.33212,34.8905,2745.0
518,27X014,-0.00136,35.8314,2995.0
519,28X164,4.50734,35.7289,2699.0
522,29X012,0.32917,35.4194,2736.0
523,32X026,1.22348,33.7493,2996.0
524,16X602,3.08441,36.6087,2997.0
525,16X967,3.2415,36.7896,2774.0
526,14X051,1.32814,35.3529,2740.0
527,43X043,6.1635,36.1637,2998.0
528,05X020,6.41238,35.7753,2999.0
529,31X061,-0.41494,35.6819,3000.0
530,44X046,1.84881,36.3076,2790.0
531,27X050,0.66714,36.3149,3001.0
532,34X107,4.9162,36.1035,3002.0
533,16X809,3.23295,36.7289,2904.0
534,14X084,1.87866,35.4595,3003.0
535,14X047,1.32302,35.36036,2740.0
536,14X077,1.31312,35.35326,2740.0
537,02X191,1.30312,36.4603,3004.0
538,10X032,3.58253,36.5664,2917.0
539,13X216,-1.36711,34.92856,3005.0
540,23X058,7.73038,36.79237,2823.0
541,18X002,5.7488,36.8079,2785.0
542,21X065,6.89339,36.7583,3006.0
543,28X054,3.77517,35.8807,2910.0
544,29X032,0.34292,35.3309,3007.0
545,13X194,-1.35009,34.8825,3008.0
546,15X022,3.76967,36.5846,3009.0
547,16X540,3.04703,36.7636,2838.0
548,16X904,3.33865,36.7418,2796.0
549,13X110,-1.75389,34.8534,2692.0
550,06X132,5.05532,36.748,2719.0
551,09X198,2.73584,36.4468,3010.0
552,10X124,3.68766,36.15932,2976.0
553,47X040,3.69095,32.4779,3011.0
554,04X080,7.18759,35.9412,2795.0
555,25X010,6.6048,36.358,2764.0
556,44X041,1.96931,36.264,2743.0
557,17X065,3.22592,35.6403,2722.0
558,25X108,6.57938,36.2555,2693.0
559,06X038,4.9146,36.7479,3012.0
560,23X155,7.70655,36.8376,2863.0
561,21X114,7.22161,36.732,3013.0
562,16X851,3.17573,36.6549,3014.0
563,15X154,4.046,36.70512,2683.0
564,06X067,4.53125,36.4568,2961.0
565,16X243,3.05037,36.7619,2966.0
566,02X123,1.25389,36.1869,2942.0
567,09X024,3.15573,36.5656,2870.0
568,02X174,1.40415,36.18702,2790.0
569,21X041,6.5841,36.9303,3015.0
570,16X401,3.34229,36.748,2796.0
571,25X065,6.73584,36.258,3016.0
572,30X033,5.33321,31.9521,2818.0
574,25X125,6.60321,36.4275,2879.0
575,18X001,5.76108,36.8223,2785.0
576,31X479,-0.90168,35.5747,3017.0
577,35X017,3.99265,36.8367,3018.0
578,27X058,0.29281,35.9969,3019.0
579,30X018,6.07169,33.1202,2840.0
580,25X107,6.61998,36.3084,2764.0
581,36X020,7.74914,36.6843,3020.0
582,25X060,6.57423,36.3312,2764.0
583,14X052,1.32052,35.371,2740.0
584,05X100,6.17164,35.5397,2784.0
585,43X064,6.25346,36.4529,2991.0
586,46X106,-1.38775,35.2995,2673.0
587,06X060,5.22985,36.5363,3021.0
589,13X060,-1.88953,35.0429,3022.0
590,18X010,6.27862,36.7542,2695.0
591,15X136,3.95731,36.7337,2678.0
592,42X008,2.41295,36.5106,2744.0
593,16X959,3.05593,36.75,2966.0
594,23X001,7.76089,36.8978,2731.0
595,16X556,3.1368,36.6737,3014.0
596,18X023,5.79293,36.6612,3023.0
597,14X056,2.3065,34.8895,3024.0
598,25X082,6.69268,36.2693,2693.0
599,24X015,7.51487,36.4579,3025.0
600,14X016,1.7674,35.4355,3026.0
601,16X141,2.92685,36.7634,2938.0
602,39X109,6.84565,33.36393,2885.0
603,13X298,-1.36153,34.8868,3008.0
604,01X002,0.23031,29.2619,3027.0
605,16X135,3.27904,36.709,3028.0
606,31X019,-0.59869,35.7113,2787.0
607,29X065,0.16164,35.2488,3029.0
608,16X089,3.04304,36.7266,2811.0
609,26X086,2.75468,36.2586,2730.0
610,16X080,3.04723,36.8013,2773.0
611,27X035,0.09828,35.9169,2726.0
612,04X022,7.09204,35.8765,2711.0
613,41X003,7.93117,36.291,2806.0
614,39X025,6.85081,33.3679,2885.0
615,10X137,3.88376,36.3917,2920.0
616,48X079,0.74881,36.1235,3030.0
617,09X014,2.82945,36.476,2757.0
618,36X026,7.73999,36.761,2907.0
619,24X086,7.43576,36.4619,2786.0
620,21X119,7.11529,36.7438,3031.0
621,09X019,2.6324,36.4655,2814.0
622,16X021,3.05615,36.7663,2966.0
623,44X022,2.20142,36.1255,3032.0
624,02X027,0.97014,36.1628,3033.0
625,16X1040,3.01828,36.70988,2817.0
626,44X078,2.07903,36.2043,2925.0
627,40X053,7.1421,35.4032,3034.0
628,19X062,5.38039,35.6771,3035.0
629,21X074,6.87914,36.8996,2754.0
630,27X028,0.32389,36.0942,3036.0
631,41X059,7.94147,36.2641,2806.0
633,21X030,6.72272,36.6802,3037.0
634,31X484,-0.42337,35.7797,3038.0
635,17X003,3.25109,34.6689,2703.0
636,21X075,6.56499,37.0057,2948.0
637,19X035,5.28594,35.8519,2977.0
638,30X025,6.00744,33.0096,3039.0
639,10X060,3.58792,36.5647,2917.0
640,14X106,1.75511,35.4359,3026.0
641,12X083,8.10783,35.4194,2697.0
642,19X136,5.32138,35.6628,3040.0
643,43X085,5.94222,36.408,2830.0
644,08X101,-2.23193,31.6032,2829.0
646,48X005,0.56186,35.7465,2843.0
647,30X014,6.0809,33.108,3041.0
648,01X032,0.22627,29.412,3042.0
650,31X105,-0.66714,35.6793,2787.0
651,05X121,5.3529,35.398,2698.0
652,14X144,1.24266,34.8965,3043.0
653,29X064,0.33479,35.4163,2736.0
654,16X072,2.97495,36.8132,3044.0
655,15X019,4.20933,36.679,3045.0
656,24X090,7.47622,36.4647,3046.0
657,15X024,4.0961,36.5491,3047.0
658,26X021,2.56554,36.2379,3048.0
659,13X023,-1.42872,35.059,2672.0
660,16X086,2.94542,36.6328,3049.0
661,25X020,6.63374,36.3364,2764.0
662,21X018,6.93394,36.8458,3050.0
663,25X220,6.9466,36.2296,3051.0
664,36X081,7.71922,36.6799,3020.0
665,05X008,6.16416,35.5545,2784.0
666,05X183,5.99454,35.6437,3052.0
667,02X092,1.14522,36.3182,3053.0
668,26X151,3.5305,36.2432,3054.0
669,23X112,7.72853,36.8967,2731.0
670,35X153,3.41369,36.7258,2858.0
671,21X016,6.75021,36.5978,3055.0
672,31X230,-0.42506,35.7846,3038.0
673,25X169,6.66089,36.3298,2764.0
674,39X071,6.78523,33.5496,3056.0
675,28X030,4.54881,35.7163,2699.0
676,16X516,3.18973,36.7218,2864.0
677,08X022,-2.70817,31.0239,3057.0
678,18X045,6.12164,36.8084,3058.0
679,15X132,4.33801,36.5447,3059.0
680,16X1191,3.28432,36.71286,3028.0
